Question,Answers
Why does my parent product have kitted qty when the product isn't apart of a kit?,Parent product qty on hand & kitted is calculated based on the child products stock on hand. This is expected behaviour! 
"SKU shows 2 items ""on order"" but these orders have already been dispatched?",Symptoms of this issue are orders still associated with the product stock control area and the cause could be order(s) have been dispatched but the product/order line hasn't been picked
Why is it possible to oversell on POS and how can it be avoided?,"The Neto POS system was designed for in-store sales, with the assumption that if a product is physically present in-store and presented to the register by a customer, it should be possible to sell it (as it would indicate that the stock figures are incorrect).
POS will not prevent you from selling out-of-stock items, nor warn you against stock being low or null. A product's Stock on Hand can be viewed by clicking on the (i) icon on the product thumbnail:"
How do I use the Inventory Change Log?,"To understand the log, it is important to look at the Action. In the log, there is a column for 'Action' which will give some detail about what is happening in each entry. 
When the action shows as 'Adjustment', the quantities on the report are showing the change to Store Qty, Warehouse Qty, Committed Qty and Kitted Qty when an action made. However, this does not show the resulting qty of each action. 
However, if the Action value is ‘Information’ this will display the current Store Qty, Warehouse Qty and Committed Qty, depending on the type of log run. For example, if you see the Type column with ""LogWarehouseQty"", this is logging the current Warehouse Stock. This also applies to the Type ""LogStockQty"" which is logging the Qty on Hand at that point of time. "
What are the low stock and restock alert reports for?,"This report is designed to inform the customer when a product has reached a point where more stock is required to order. Customers can set an Alert Qty, so if the item’s Qty on Hand + Incoming Qty goes below the Alert Qty, an email can be sent to the customer and displayed in the report.
Customers can also set a Default Re-Order Qty, so when creating a purchase order form the report, you can have the Order Qty pre-filled with a set Qty. 
However, currently no tracking and parent products can show on this report, a workaround is to set the Alert Qty and Restock Qty to a large negative number so it will not display on reports or emails
Alert Qty is used for restock emails & Restock Qty is used for the report. "
How do kits work?,"You can read more in the documentation for this and a basic explanation is below https://www.netohq.com/support/s/article/set-up-kit-hamper-bundle-products
Basically, how it works is you create a Kit Product which is the item customers see and have added to the cart on the website. In the kit product, you list down the products which build the kit and how many of the item is included in the kit. In this example, say the kit is built by:
1 x Product_A
2 x Product_B
1 x Product_C
The stock of the Kit Products is based on the stock levels of the components, meaning if one component is out of stock, the customer cannot purchase the kit unless the store is configured to allow out of stock purchases. The same happens if Product_A has 2 stock and the customer is trying to purchase 5 kits, the customer will be limited to purchasing 2 kits, as Product_A has only 2 stock remaining. 
When the kit is purchased, the stock is then deducted on the components. The Kit Product is simply treated as a container and the components which build the kit control stock.
In terms of picking a kit when an order is placed, there is an option on the kit product called 'Split for Warehouse Picking'. When this option is turned on, the picking slips will list down the components that built the kit and the warehouse location of the components, rather than listing the Kit Product. "
How do editable kits work?,"To create Editable Kits, you will need the Addon installed from the Addons Page. Once created, you will have the tick box available on Kit Products to change the kit from a Standard Kit to an Editable Kit.
Qty: This pre-fills the default qty for each component product in an editable kit for adding the kit to cart
Min Qty: The minimum allow qty of that component when adding to cart
Max Qty: The max allow qty of that component when adding to cart
Group: Grouping is a way to set a Min and Max Qty per a group of products, rather than one. Meaning a customer must select one of the options, but no more than the Max. In the image below, I have grouped option 1 and 2 together, and option 3 and 4 together. You can click on the Pen & Notepad beside each group to edit the options in the group. "
How do I calculate the cost price and profit margin for kitted items on sales orders?,"The cost of goods sold on an invoice is locked in at the point the orderlines are marked as Picked and ready for Packing, this generally occurs when the order transitions from the status Pick to Pack. 
This allows you to take orders for items that have been ordered from a supplier but not received. As long as the order is not picked before the purchase order is received, the orderlines will be updated when the order is then picked and the items cost of goods sold is calculated. If an order is at any point Unpicked, the cost of goods sold will be updated again when the order is re-picked, however, if the stock journal has exported to Xero, to avoid duplicated a second journal is not updated."
"When creating a product made up of kitting 2 or more items, what do we put in the default purchase price?",The default purchase price only needs to be set up on the components as you don't create a purchase order for kits. The kit components are the purchased/stocked items as the kit is a virtual product made from the components.
Can I have a prepackaged kit ( warehouse qty) assigned to a kitted product?,Holding a warehouse quantity for kits is not supported as it would be removed on a schedule (stockqty_cache). This means we cannot support pre-packaged kits at present.
Why is my Kit not updating with kitted quantity?,If you have just created a kit or the kitted qty isn't adding up to what you have just set it is possible that Update Item Kitting Stock process needs to be run. Navigate to system scheduled tasks ( cpanel/batchproc) and search for Update Item Kitting Stock to run the process.
How do we set up Pick and Pack to show the components and not the SKU the order is sold on?,Tick Split for Warehouse Picking on the kit product if the components of your kit need to be picked separately in the warehouse. Otherwise the kit will be listed as a single line item on pick slips.
Can I get a historical stock valuation for the end of the financial year?,"Neto can only report on the figures that are currently in Neto, not historical inventory stock calculations,
You can create a scheduled export to an email address with SKU, Stock in X Warehouse(s) & Average Cost Price, which you can save locally for future reference. 
The below guides are available on how to set up a custom export and create a schedule:
https://www.netohq.com/support/s/article/product-export-wizard
https://www.netohq.com/support/s/article/data-import-export-overview#4
This way you can have an automated export to your email address if you need to report back on historical figures."
